LIST OF WW2 SHIPS					
https://military-history.fandom.com/wiki/List_of_World_War_II_ships					
					
ID	Ship	Country	Type	Produksi	Fate
594	Fiji	UK	Crown Colony-class cruiser	5 May 1940	sunk 22 May 1941
595	Fitch	USA	Gleaves class destroyer	3 February 1942	decommissioned 1956, sunk as target 1973
596	Fiume	Kingdom of Italy	Zara class heavy cruiser	1931	sunk 29 March 1941
597	Fletcher	USA	Fletcher class destroyer	30 June 1942	Decommissioned 1 August 1969, scrapped 1972
598	USS Flint	USA	Atlanta class light cruiser	31 August 1944	decommissioned 1947, scrapped 1966
599	Flores	Netherlands	Flores class sloop	25 March 1926	scrapped Nov 1968
600	Flusser	USA	Mahan class destroyer	1 October 1936	scrapped 1948
601	Foch	France	Suffren class heavy cruiser	15 August 1931	scuttled 27 November 1942
602	Folkestone	UK	Folkestone class sloop	25 June 1940	scrapped 22 May 1947
603	Formidable	UK	Illustrious class aircraft carrier	24 November 1940	scrapped 1953
604	Forrest	USA	Gleaves class destroyer	13 January 1942	scrapped 1946
605	Frankford	USA	Gleaves class destroyer	31 March 1943	decommissioned 1946, sunk as target 1973
606	Franklin	USA	Essex class fleet carrier	31 January 1944	Decommissioned 17 February 1947, scrapped 1964
607	Frazier	USA	Benson class destroyer	30 July 1942	decommissioned 1946, scrapped 1972
608	Frederick C. Davis	USA	Edsall class destroyer escort	14 July 1943	sunk 24 April 1945
609	Fredericton	Canada	Flower-class corvette	8 December 1941	converted to fishing trawler
610	Fridtjof Nansen	Norway	Coast Guard ship	29 May 1931	ran aground and sank 8 November 1940
611	Friedrich Eckholdt	Nazi Germany	Type 1934A destroyer	28 July 1938	sunk 31 December 1942
612	Friedrich Ihn	Nazi Germany	Type 1934A destroyer	6 April 1938	scrapped 1952
613	Frobisher	UK	Hawkins class heavy cruiser	20 September 1924	sold for scrap March 26th, 1949
614	Fu An	Republic of China (1912–1949)	gunship		
615	Fubuki	Empire of Japan	Fubuki class destroyer	10 August 1928	sunk 11 October 1942
616	Fujinami	Empire of Japan	Y?gumo class destroyer	31 July 1943	sunk 10 January 1945
617	Fumizuki	Empire of Japan	Mutsuki class destroyer	3 July 1926	sunk 18 February 1944
618	Furious	UK	Glorious-class aircraft carrier	14 October 1917	scrapped 1948
619	Furutaka	Empire of Japan	Furutaka class heavy cruiser	31 March 1926	sunk 20 December 1942
620	Fury	UK	F class destroyer	10 September 1934	mined 21 June 1944, not repaired
621	Fus?	Empire of Japan	Fus?-class battleship	18 November 1915	sunk 25 October 1944
622	Fuyuzuki	Empire of Japan	Akizuki class destroyer	30 April 1944	scrapped and converted to breakwater 1948
623	Fyen	Denmark	light cruiser hulk		
624	Gadila	Netherlands	Rapana class merchant aircraft carrier and oil tanker	1944	"returned to merchant service 1946; scrapped 1958"
625	Gambia	UKthen  New Zealand	Fiji class light cruiser	21 February 1942	scrapped 1968
626	Gambier Bay	USA	Casablanca  class escort carrier	28 December 1943	Sunk 25 October 1944
627	Gamble	USA	Wickes class destroyer minelayer	29 November 1918	Damaged beyond repair Iwo Jima 17 February 1945, scuttled Guam 16 July 1945.
628	Gansevoort	USA	Benson class destroyer	25 August 1942	decommissioned 1946, sunk as target 1972
629	Garland	UKthen  Poland	G class destroyer	3 March 1936	sold to the Netherlands 14 November 1947
630	Gato	United States	Gato class submarine	31 December 1941	Scrapped 25 July 1960
631	Gelderland	Netherlands	Holland class cruiser (pantserdekschip)	16 July 1900	captured by Germany 1940, renamed Niobe, sunk 16 July 1944
632	General Belgrano	Argentina	Garibaldi class cruiser	c.1896	Stricken 8 May 1947
633	General Pueyrredon	Argentina	Garibaldi class cruiser		Stricken 2 August 1954
634	Georg Thiele	Nazi Germany	Type 1934 destroyer	27 February 1937	sunk 13 April 1940
635	George Leygues	France Free French	La Galissonnière class light cruiser	15 November 1937	scrapped 1959
636	Georgios Averof	Greece	armored cruiser	16 May 1911	Decommissioned 1951, museum ship
637	Gherardi	USA	Gleaves class destroyer	15 September 1942	decommissioned 1955, sunk as target 1973
638	Gillespie	USA	Benson class destroyer	18 September 1942	decommissioned 1946, sunk as target 1973
639	Giovanni dalle Bande Nere	Kingdom of Italy	Giussano class light cruiser	10 February 1932	Sunk 19 July 1940
640	Giulio Cesare	Kingdom of Italy	Conte di Cavour-class battleship	10 May 1914	Ceded to Soviet Union 1948, renamed Novorossiysk
641	Giuseppe Garibaldi	Kingdom of Italy	Duca degli Abruzzi class light cruiser	1937	scrapped 1972
642	Giuseppe Miraglia	Kingdom of Italy	seaplane tender	1927	decommissioned 15 July 1950
643	Glaisdale	Norway	Hunt class destroyer escort destroyer	12 June 1942	renamed HNoMS Narvik 1946, scrapped 1961
644	Gleaves	USA	Gleaves class destroyer	14 June 1940	Sold 29 June 1972 and broken up for scrap
645	Glennon	USA	Gleaves class destroyer	8 October 1942	sunk 10 June 1944
646	Gloire	France Free French	La Galissonnière class light cruiser	15 November 1937	scrapped 1958
647	Glorious	UK	Glorious-class aircraft carrier	20 April 1916	sunk 8 June 1940[7]
648	Glory	UK	Colossus-class aircraft carrier	2 April 1945	scrapped August 1961
649	Gloucester	UK	Town-class light cruiser	31 January 1939	Sunk on 22 May 1941 during the Battle of Crete[8]
650	Gneisenau	Nazi Germany	Scharnhorst-class battleship	21 May 1938	sunk as block ship March 1945 (Gotenhafen/Gdynia)
651	Godavari	India	Black Swan-class sloop	28 June 1943	Transferred to Pakistan 1948, renamed Sind
652	Goldsborough	USA	Clemson class destroyer	26 January 1920	Decommissioned 11 October 1945
653	Good Hope	South Africa	Loch class frigate	1 December 1944	scrapped June 1978
654	Goodall	UK	Captain class frigate	4 October 1943	sunk 29 April 1945
655	Gorizia	Kingdom of Italy	Zara class heavy cruiser	1931	sunk 1943
656	Graf Spee (short name for Admiral Graf Spee)	Nazi Germany	Deutschland class pocket battleship or heavy cruiser	6 January 1936	scuttled 17 December 1939
657	Graf Zeppelin	Nazi Germany	aircraft carrier	launched 8 December 1938, not completed	Sunk as target in the Baltic,16 August 1947[9]
658	Grayson	USA	Gleaves class destroyer	14 February 1941	decommissioned 1947, scrapped 1974
659	Greenhalgh	Brazil	Marcilio Dias class destroyer	29 November 1943	decommissioned 1966
660	Greif	Nazi Germany	Raubvogel class torpedoboat	15 March 1927	sunk 23 May 1944
661	Gridley	USA	Gridley class destroyer	24 June 1937	scrapped 1947
662	Grom	Poland	Grom-class destroyer	11 May 1937	sunk 4 May 1940
663	Gryf	Poland	Gryf class minelayer	27 February 1938	sunk 3 September 1939
664	Guam	USA	Alaska-class cruiser	17 September 1944	scrapped Aug 1961
665	Gurkha	UK	Tribal class destroyer	21 October 1938	sunk 9 April 1940
666	Gwin	USA	Gleaves class destroyer	15 January 1941	sunk 13 July 1943
667	Haguro	Empire of Japan	Myoko class heavy cruiser	25 April 1929	sunk 16 May 1945
668	Hai Chao	Republic of China (1912–1949)	sloop		
669	Hai Chen	Republic of China (1912–1949)	gunship		
670	Hai Chi	Republic of China (1912–1949)	gunship		
671	Hai Chou	Republic of China (1912–1949)	gunship		
672	Hai Yung	Republic of China (1912–1949)	gunship		
673	Haida	Canada	Tribal class destroyer	30 August 1943	preserved at Hamilton, Ontario Canada
674	Hambleton	USA	Gleaves class destroyer	22 December 1941	decommissioned 1955, scrapped 1972
675	Hammann	USA	Sims class destroyer	11 August 1939	sunk 6 June 1942
676	Hancock	USA	Ticonderoga class fleet carrier	15 April 1944	Decommissioned 30 January 1976, scrapped
677	Hansa	Nazi Germany	auxiliary cruiser	2 February 1944	scrapped 1971
678	Hans Lody	Nazi Germany	Type 1934A destroyer	13 September 1938	scrapped 1946 - 1949
679	Hans Lüdemann	Nazi Germany	Type 1936 destroyer	8 October 1938	sunk 13 April 1940
680	Harald Haarfagre,later Thetis	Norway,then  Nazi Germany	coastal defence ship	21 March 1898	captured by Germany 9 April 1940, renamed Thetis, scrapped 1948
681	Harder	United States	Gato class submarine	2 December 1942	Sunk 24 August 1944
682	Harding	USA	Gleaves class destroyer	25 May 1943	scrapped 1947
683	Haruna	Empire of Japan	Kong?-class battlecruiser		sunk 28 July 1945
684	Harvester	UK	Havant class destroyer	23 May 1940 (laid down as Brazilian Jurua)	sunk 11 March 1943
685	Havant	UK	Havant class destroyer	19 December 1939 (laid down as Brazilian Javary)	scuttled 1 June 1940
686	Havelock	UK	Havant class destroyer	10 February 1940 (laid down as Brazilian Jutahy)	scrapped Oct 1946
687	Hayatake	Empire of Japan	aircraft carrier		
688	USS Heermann	USA	Fletcher Class destroyer	6 July 1943	transfer to Argentina 1961, scrapped 1982
689	Helena	USA	St. Louis class light cruiser	18 September 1939	sunk 6 July 1943
690	Hekla	Denmark	light cruiser hulk		
691	Helm	USA	Bagley class destroyer	16 October 1937	scrapped 1947
692	Henley	USA	Bagley class destroyer	14 August 1937	sunk 3 October 1943
693	Hermann Künne	Nazi Germany	Type 1936 destroyer	12 January 1939	sunk 13 April 1940
694	Hermann Schoemann	Nazi Germany	Type 1934A destroyer	9 September 1937	sunk 2 May 1942
695	Hermes	UK	aircraft carrier	7 July 1923	sunk 9 April 1942
696	Herndon	USA	Gleaves class destroyer	20 December 1942	decommissioned 1946, sunk as target 1973
697	Hesperus	UK	Havant class destroyer	22 January 1940 (laid down as Brazilian Juruena)	scrapped November 1946
698	Highlander	UK	Havant class destroyer	18 March 1940 (laid down as Brazilian Jaguaribe)	scrapped May 1946
699	Hindustan	India	Folkestone class sloop	10 October 1930	Transferred to Pakistan 1948, renamed Karsaz
700	Hiry?	Empire of Japan	S?ry? class aircraft carrier	5 July 1939	sunk 5 June 1942
701	Hiei	Empire of Japan	Kong?-class battlecruiser	1914	sunk 14 November 1942
702	Hilary P. Jones	USA	Benson class destroyer	6 September 1940	to Taiwan 1954, scrapped 1974
703	Hiy?	Empire of Japan	Hiy? class aircraft carrier	31 July 1942	sunk 20 June 1944
704	Hobart	Australia	modified Leander class light cruiser	28 September 1938	scrapped 1962
705	Hobby	USA	Benson class destroyer	18 November 1942	decommissioned 1946, sunk as target 1972
706	Hobson	USA	Gleaves class destroyer	22 January 1942	sunk in collision 1952
707	USS Hoel	USA	Fletcher class destoyer	19 July 1943	sunk 25 October 1944, Battle of Samar
708	Hood	UK	Admiral-class battlecruiser	5 March 1920	sunk 24 May 1941
709	Honolulu	USA	Brooklyn class light cruiser	15 June 1938	scrapped 1959
710	Hornet (I)	USA	Yorktown class fleet carrier	25 October 1941	sunk 27 October 1942
711	Hornet (II)	USA	Essex class fleet carrier	29 November 1943	"decommissioned 26 June 1970; museum Alameda, California"
712	H?sh?	Empire of Japan	aircraft carrier	27 December 1922	scrapped 1947
713	Houston (I)	USA	Northampton class heavy cruiser	17 June 1930	sunk 1 March 1942
714	Houston (II)	USA	Cleveland class light cruiser	20 December 1943	scrapped 1959
715	Hova	Free French	Cannon-class destroyer escort	18 March 1944 (former USS Hova)	Decommissioned May 1964
716	Howe	UK	King George V-class battleship	28 September 1942	scrapped 1958
717	Huáscar	Chile	ironclad		
718	Hughes	USA	Sims class destroyer	21 September 1939	scuttled after A-bomb test 1948
719	Hull	USA	Farragut class destroyer	11 January 1935	foundered in typhoon 18 December 1944
720	Humaita	Brazil	Humaita class submarine	20 July 1929	Decommissioned 25 November 1950
721	Hunter	UK	Attacker class escort aircraft carrier	9 January 1943 (former USS Block Island)	Returned to USN 29 December 1945, sold into merchant service 17 January 1947 as Almdijk
722	Huron	Canada	Tribal class destroyer	19 July 1943	scrapped 1965
723	Hurricane	UK	Havant class destroyer	21 June 1940 (laid down as Brazilian Japura)	sunk 24 December 1943
724	Hvidbjørnen	Denmark	patrol boat		
725	Hyatt	Chile	Serrano class destroyer		Discarded 1963
726	Hydra	Greece	modified Freccia class destroyer	1933	sunk 22 April 1941
727	Hy?ga	Empire of Japan	Ise-class battleship	1918	sunk 28 July 1945
728	Ierax	Greece	Wild Beast-class destroyer	19 October 1912	Decommissioned 1946
729	Idaho	USA	Mississippi-class battleship	1 April 1908	decommissioned 30 July 1914, sold to Greece, renamed Kilkis, sunk 23 April 1941
730	Illustrious	UK	Illustrious-class aircraft carrier	25 May 1940	scrapped 1956
731	Ilmarinen	Finland	coastal defence ship	17 April 1934	sunk 13 September 1941
732	Implacable	UK	Implacable-class aircraft carrier	28 August 1944	scrapped 1955
733	Iltis	Nazi Germany	1924 Raubtier class torpedo boat	1 October 1928	sunk 13 May 1942
734	Indefatigable	UK	Implacable-class aircraft carrier	3 May 1944	scrapped 1956
735	Independence	USA	Independence-class light carrier	commissioned 14 January 1943	decommissioned 28 August 1946, target ship at Bikini, scuttled 1951
736	Independencia	Argentina	Independencia-class coastal defence battleship		Stricken 1951
737	Indiana	USA	South Dakota-class battleship	30 April 1942	decommissioned 11 September 1947, scrapped 1963
738	Indianapolis	USA	Portland-class heavy cruiser	15 November 1932	sunk 30 July 1945
739	Indomitable	UK	modified Illustrious-class aircraft carrier	10 October 1941	scrapped 1955
740	Ingolf	Denmark	patrol boat		became Sleipner (Germany)
741	Ingraham	USA	Gleaves-class destroyer	19 July 1941	sunk 22 August 1942
742	Intrepid	USA	Essex-class aircraft carrier	16 August 1943	decommissioned 15 March 1974, museum New York City
743	Iowa	USA	Iowa-class battleship	22 February 1943	"decommissioned 1954, recommissioned 1984, decommissioned 1990; Memorial at Long Beach, California"
744	Iroquois	Canada	Tribal-class destroyer	30 November 1942	scrapped 1966
745	Ise	Empire of Japan	Ise-class battleship	1917	sunk 28 July 1945
746	Iwate	Empire of Japan	Izumo-class armored cruiser	18 March 1901	sunk 26 July 1945
747	Izumo	Empire of Japan	Izumo-class armored cruiser	25 September 1900	sunk 24 July 1945
748	Isuzu	Empire of Japan	Nagara-class light cruiser	15 August 1923	Sunk 7 April 1945
749	Jacob van Heemskerk	Netherlands	Tromp-class cruiser	16 September 1939	decommissioned 1969
750	Jaguar	Nazi Germany	1924 Raubtier class torpedo boat	1 June 1929	sunk 15 June 1944
751	Jamaica	UK	Fiji-class cruiser	29 June 1942	scrapped 1960
752	Jarvis	USA	Bagley-class destroyer	27 October 1937	sunk 9 August 1942
753	Java	Netherlands	Java class cruiser	1925	sunk 27 February 1942
754	Jean de Vienne	France	La Galissonnière-class light cruiser	10 February 1937	scuttled 27 November 1942
755	Jeanne d'Arc	France	Jeanne d'Arc-class light cruiser	14 August 1931	scrapped 1965
756	Jeffers	USA	Gleaves-class destroyer	5 November 1942	decommissioned 1955, scrapped 1973
757	Jervis Bay	UK	Armed Merchant Cruiser	Oct 1940	sunk 5 November 1940
758	Jintsu	Empire of Japan	Sendai-class light cruiser	31 July 1925	sunk 13 July 1943
759	Jivoochyi	USSR	Town-class destroyer	former HMS Richmond	scrapped 1949
760	Johan Maurits van Nassau	Netherlands	Johan Maurits van Nassau-class sloop	5 April 1933	sunk 14 May 1940
761	Johnston	USA	Fletcher-class destroyer	27 October 1943	Sunk 25 October 1944
762	Jouett	USA	Somers-class destroyer leader	25 January 1939	scrapped 1946
763	Juan De Garray	Argentina	Churruca-class destroyer	Discarded 25 March 1960	
764	Jujuy	Argentina	Catamarca-class destroyer		Sold 10 January 1957
765	Jumna	India	Black Swan-class sloop	13 May 1941	
766	Juneau	USA	Atlanta-class light cruiser	14 February 1942	Sunk 13 November 1942
767	Juny?	Empire of Japan	Hiy?-class aircraft carrier	5 May 1942	scrapped 1947
768	Kaga	Empire of Japan	aircraft carrier	1 November 1929	sunk 4 June 1942
769	Kaganovich	USSR	Maxim Gorkiy (Project 26 bis) class heavy cruiser	6 December 1944	
770	Kako	Empire of Japan	Furutaka class heavy cruiser	31 July 1926	sunk 10 August 1942
771	Kaiyo	Empire of Japan	aircraft carrier	23 November 1943 (former troop transport)	10 August 1945
772	Kalinin	USSR	Maxim Gorkiy (Project 26 bis) class heavy cruiser	31 December 1942	
773	Kalk	USA	Benson class destroyer	17 October 1942	decommissioned 1946, sunk as target 1969
774	Kanaris	Greece	Hunt (Type III) class escort destroyer	10 August 1942	Returned to Royal Navy 1959, scrapped 1960
775	Karl Galster	Nazi Germany	Type 1936 destroyer	21 March 1939	scrapped 1956
776	Karlsruhe	Nazi Germany	K class light cruiser	6 November 1929	sunk 9 April 1940
777	Kashii	Empire of Japan	Katori class light cruiser	15 July 1941	sunk 12 January 1945
778	Kashima	Empire of Japan	Katori class light cruiser	31 May 1940	"struck 5 October 1945; scrapped 1947"
779	Katori	Empire of Japan	Katori class light cruiser	20 April 1940	sunk 18 February 1944
780	Katsuragi	Empire of Japan	aircraft carrier	15 October 1944	Scrapped 1947
781	Kearny	USA	Gleaves class destroyer	13 September 1940	decommissioned 1946, scrapped 1972
782	Keith	UK	B class destroyer leader	20 March 1931	sunk 1 June 1940
783	Kendrick	USA	Benson class destroyer	12 September 1942	decommissioned 1946, sunk as target 1966
784	Kent	UK	County class heavy cruiser	25 June 1928	scrapped Jan 1948
785	Kenya	UK	Fiji class light cruiser	27 September 1940	scrapped 1962
786	Khedive	UK	Ruler class escort aircraft carrier	25 August 1943 (former USS Cordova)	Returned to USN 26 January 1946, stricken 19 July 1946, sold and renamed Rempang
787	Kilkis	Greece	Kilkis class coastal defence ship	1 April 1908, former USS Idaho (BB-23)	sunk 23 April 1941
788	King George V	UK	King George V-class battleship	11 December 1940	decommissioned 1949 and scrapped
789	Kinu	Empire of Japan	Nagara class light cruiser	10 November 1922	sun by USN aircraft, Sibuyan Sea 26 October 1944
790	Kinugasa	Empire of Japan	Aoba class heavy cruiser	30 September 1927	sunk 13 November 1942
791	Kirishima	Empire of Japan	Kong?-class battleship	19 April 1915	sunk 15 November 1942
792	Kirov	USSR	Kirov (Project 26) class heavy cruiser	23 September 1938	
793	Kiso	Empire of Japan	Kuma class light cruiser	29 January 1921	"20 March 1944; Sunk by USN aircraft west of Cavite"
794	Kistna	India	Modified Black Swan class sloop		Scrapped 1980
795	Kitakami	Empire of Japan	Kuma class light cruiser	15 April 1921	"30 November 1945; Scrapped"
796	Knapp	USA	Fletcher class destroyer	16 September 1943	Decommissioned: 4 March 1957, scrapped 1972
797	Knight	USA	Gleaves class destroyer	23 June 1942	decommissioned 1947, sunk as target 1967
798	Köln	Nazi Germany	K class light cruiser	January 1930	sunk 3 March 1945
799	Komet	Nazi Germany	auxiliary cruiser	2 June 1940 (former freighter Ems)	sunk 14 October 1942
800	Kondor	Nazi Germany	1923 (Raubvogel) class torpedo boat	15 July 1927	decommissioned 28 June 1944
801	Kong?	Empire of Japan	Kong?-class battlecruiser	16 August 1913	sunk 21 November 1944
802	Königsberg	Nazi Germany	K class light cruiser	17 April 1929	sunk 10 April 1940,at Bergen, Norway
803	Kormoran	Nazi Germany	auxiliary cruiser	9 October 1940 (former freighter Steiermark)	19 November 1941
804	Kortenaer	Netherlands	Admiralen-class destroyer	3 September 1928	sunk 27 February 1942
805	Kountouriotis	Greece	modified Freccia class destroyer	1933	decommissioned 1946
806	Krakowiak	Poland	Hunt class destroyer	28 May 1941 (laid down as HMS Silverton)	returned to RN September 1946, scrapped March 1959.
807	Krasnoye Znamya	USSR	Krasnoye Znamya class gunboat	1897	Sunk on 18 November 1942, raised, decommissioned in 1960
808	Krasny Kavkaz	USSR	Kraznyi Kavkaz class cruiser	25 January 1932	Sunk as a target 1956
809	Krasnyi Krym	USSR	Krasnyi Krym class cruiser	1 July 1928	Sunk as target in 1959
810	Kriti	Greece	Hunt (Type II) class escort destroyer	Dec 1943 (former HMS Hursley)	Returned to the Royal Navy 12 November 1959
811	Kujawiak	Poland	Hunt class destroyer	17 June 1941	sunk 16 June 1942, off Malta
812	Kuma	Empire of Japan	Kuma class light cruiser	31 August 1920	"10 March 1944; Sunk by HMS Tally-Ho west of Penang"
813	Kumano	Empire of Japan	Mogami class heavy cruiser	31 October 1931	sunk 15 November 1944
814	La Argentina	Argentina	training light cruiser		discarded 1974
815	La Galissonnière	France	La Galissonnière class light cruiser	1 January 1936	scuttled 27 November 1942
816	La Rioja	Argentina	destroyer		
817	Laffey (I)	USA	Benson class destroyer	31 March 1942	sunk 13 November 1942
818	Laffey (II)	USA	Sumner class destroyer	8 February 1944	decommissioned 1975, memorial at Charleston, SC
819	Lake Champlain	USA	Ticonderoga class fleet carrier	3 June 1945	decommissioned 2 May 1966, sold for scrapping on 28 April 1972
820	Lamberton	USA	Wickes class high speed minesweeper	22 August 1918	scrapped 9 May 1947
821	Lamotte-Piquet	France	Duguay-Trouin class light cruiser	5 March 1927	sunk 12 January 1945
822	Lamson	USA	Mahan class destroyer	21 October 1936	sunk in A-bomb test, 1946
823	Lang	USA	Benham class destroyer	30 March 1939	scrapped 1947
824	Langley CV-1	USA	light aircraft carrier and seaplane tender	7 April 1913	sunk 27 February 1942
825	Langley CVL-27	USA	Independence class light carrier	31 August 1943	decommissioned 11 February 1947, later La Fayette (France), scrapped 1964
826	Lansdale	USA	Benson class destroyer	17 September 1940	sunk 20 April 1944
827	Lansdowne	USA	Gleaves class destroyer	29 April 1942	to Turkey 1949, scrapped 1973
828	Lardner	USA	Gleaves class destroyer	13 May 1942	to Turkey 1949, sunk as target 1982
829	Latona	UK	Abdiel class minelayer	4 May 1941	lost 25 October 1941
830	Laub	USA	Benson class destroyer	24 October 1942	decommissioned 1946, scrapped 1975
831	Lawford	UK	Captain class frigate	3 November 1943	sunk 8 June 1944
832	Lawrence	India	24 class sloop	27 December 1919	Scrapped 1947
833	Leander	New Zealand	Leander class light cruiser	23 July 1931 (former Leander (UK))	returned to UK 8 May 1944, scrapped 1950
834	Leberecht Maass	Nazi Germany	Type 1934 destroyer	14 January 1937	sunk 22 February 1940
835	Leipzig	Nazi Germany	Leipzig class light cruiser	8 October 1931	scuttled 11 July 1946
836	Lemnos	Greece	Kilkis class coastal defence ship	1 February 1908, former USS Mississippi (BB-23)	sunk 23 April 1941
837	Leningrad	Soviet Union	Leningrad class destroyer	December 1936 (completed)	scrapped in 1960
838	Leon	Greece	Wild Beast class destroyer	19 October 1912	sunk 15 May 1941
839	Leopard	Nazi Germany	1924 Raubtier class torpedo boat	1 June 1928	sunk on 30 April 1940
840	Léopard	Free French	Chacal class destroyer	31 August 1940	sunk 27 May 1943
841	Lexington CV-2	USA	Lexington class fleet carrier	14 December 1927	sunk 8 May 1942
842	Lexington CV-16	USA	Essex class fleet carrier	17 February 1943	"decommissioned 8 November 1991; museum Corpus Christi, Texas"
843	Libertad	Argentina	coastal defense ship		
844	Lincoln	Norway	Town class destroyer	Feb 1942 (former HMS Lincoln)	July 1942 (transferred to Canada)
845	Lightning	UK	L class destroyer	28 May 1941	sunk 12 March 1943
846	Littorio	Kingdom of Italy	Littorio-class battleship	6 May 1940	renamed Italia, scrapped 1948
847	Livermore	USA	Gleaves-class destroyer	7 October 1940	Sold 3 March 1961 for scrapping
848	Loch Insh	UK	Loch class frigate	20 October 1944	transferred to the Royal Malaysian Navy in 1964 and renamed KD Hang Tuah, scrapped in 1977
849	London	UK	County class heavy cruiser	31 January 1929	scrapped 1950
850	Long Island	USA	Long Island class escort aircraft carrier	2 June 1941	decommissioned 26 March 1946
851	Lorelei	Nazi Germany	patrol boat	ex-Artevelde (Belgium)	became K4, scrapped 1954
852	Lorraine	France Free French	Bretagne-class battleship	27 July 1916	Decommissioned 17 February 1953
853	Los Angeles	USA	Baltimore-class heavy cruiser	22 July 1945	scrapped 1974
854	Lothringen	Nazi Germany	minelayer	Dec 1941	sold to merchant service post-war
855	Louisville	USA	Northampton class heavy cruiser	15 January 1931	scrapped 1959
856	Luigi Di Savoia Duca Degli Abruzzi	Kingdom of Italy	Duca degli Abruzzi class light cruiser	1 December 1937	scrapped 1972
857	Luchs	Nazi Germany	Raubtier class torpedo boat	15 April 1929	sunk 26 July 1940
858	Ludlow	USA	Gleaves class destroyer	5 March 1941	to Greece 1951, scrapped 1972
859	Luigi Cadorna	Kingdom of Italy	Cadorna class light cruiser	11 August 1933	scrapped 1951
860	Lützow	Nazi Germany	enlarged Admiral Hipper-class heavy cruiser	not completed	sold to USSR 1940 became Petropavlovsk, then Tallinn
861	Lützow	Nazi Germany	"Deutschland class heavy cruiser or ""pocket battleship"""	former Deutschland	scuttled 4 May 1945
862	Macdonough	USA	Farragut class destroyer	15 March 1935	scrapped 1947
863	MacKenzie	USA	Benson class destroyer	21 November 1942	decommissioned 1946, sunk as target 1974
864	Macoma	Netherlands	Rapana class merchant aircraft carrier and oil tanker	1 April 1944	transferred to merchant service post-war
865	Macomb	USA	Gleaves class destroyer	26 January 1942	to Japan 1954, to Taiwan 1970, scrapped 1980
866	Maddox	USA	Gleaves class destroyer	31 October 1942	sunk 10 July 1943
867	Madison	USA	Benson class destroyer	6 August 1940	decommissioned 1946, sunk as target 1969
868	Madras	India	Bathurst class minesweeper	12 May 1942	Decommissioned 1960
869	Mahan	USA	Mahan class destroyer	18 September 1936	sunk 7 December 1944
870	Mahratta	UK	M class destroyer	28 July 1942	sunk 25 February 1944
871	Mahroussa	Kingdom of Egypt	yacht		
872	Malaya	UK	Queen Elizabeth-class battleship	1 February 1916	decommissioned 1944, scrapped 1948
873	Mansfield	Norway	Town class destroyer	Dec 1940 (former HMS Mansfield)	20 March 1942, returned to RN
874	Manxman	UK	Abdiel class minelayer	20 June 1941	scrapped 1971
875	Maori	UK	Tribal class destroyer	2 January 1939	sunk 12 February 1942
876	Marblehead	USA	Omaha class light cruiser	8 September 1924	scrapped 1946
877	Marcilio Dias	Brazil	Marcilio Dias class destroyer	29 November 1943	Decommissioned 22 August 1972
878	Mariz e Barros	Brazil	Marcilio Dias class destroyer	29 November 1943	Decommissioned 22 August 1972
879	Marocaindisambiguation needed	Free French	Cannon class destroyer escort	29 February 1944 (former USS Marocain)	Decommissioned May 1964
880	Marseillaise	France	La Galissonniere class light cruiser	10 October 1937	scuttled 27 November 1942
881	Marshal Ney	UK	Marshal Ney class monitor		scrapped in 1957
882	Marshal Soult	UK	Marshal Ney class monitor		scrapped July 1946
883	Maryland	USA	Colorado-class battleship	21 July 1921	decommissioned 1947, scrapped 1959
884	Mashona	UK	Tribal-class destroyer	28 March 1939	sunk 28 May 1941
885	Mason	USA	Evarts-class destroyer escort	20 March 1944	Scrapped 1947
886	Massachusetts	USA	South Dakota-class battleship	12 May 1942	Decommissioned 27 March 1947, museum ship Fall River, Massachusetts
887	Matabele	UK	Tribal class destroyer	25 January 1939	sunk 17 January 1941
888	Mauritius	UK	Fiji class cruiser	1 January 1941	scrapped 1965
889	Maury	USA	Gridley class destroyer	5 August 1938	scrapped 1946
890	Max Schultz	Nazi Germany	Type 1934 destroyer,	8 April 1937	sunk 22 February 1940
891	Maxim Gorky	USSR	Maxim Gorkiy (Project 26 bis) class heavy cruiser	25 October 1940	Decommissioned Feb. 1956
892	Maya	Empire of Japan	Takao class heavy cruiser	30 June 1932	Sunk 23 October 1944
893	Mayo	USA	Benson class destroyer	18 September 1940	decommissioned 1946, scrapped 1972
894	Mayrant	USA	Benham class destroyer	13 September 1939	scuttled after A-bomb test 1948
895	McCall	USA	Gridley class destroyer	22 June 1938	scrapped 1947
896	McCalla	USA	Gleaves class destroyer	27 May 1942	to Turkey 1949, scrapped 1973
897	McCook	USA	Gleaves class destroyer	15 March 1943	decommissioned 1949, scrapped 1973
898	McDougal	USA	Porter class destroyer leader	23 December 1936	scrapped 1949
899	McKean	USA	Wickes class high speed transport	25 February 1919	sunk 17 November 1943
900	McLanahan	USA	Benson class destroyer	19 December 1942	decommissioned 1946, scrapped 1974
901	Meade	USA	Benson class destroyer	22 June 1942	decommissioned 1946, sunk as target 1973
902	Medway	UK	Submarine tender	Jul 1929	sunk 30 June 1942
903	Melvin	USA	Fletcher class destroyer	24 November 1943	Decommissioned 13 January 1954, scrapped 1975
904	Memphis	USA	Omaha class light cruiser	17 December 1925	scrapped 1947
905	Mendoza	Argentina	Mendoza class destroyer		Discarded 30 April 1962
